分类: 🌎美国体育, 名称: FanDuel Sports Network North, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 630 ms, 最高速率: 0.86 M/s, 平均速率: 0.86 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: FanDuel Sports Network SoCal, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 638 ms, 最高速率: 1.93 M/s, 平均速率: 1.93 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: FanDuel Sports Network Ohio, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 459 ms, 最高速率: 0.80 M/s, 平均速率: 0.80 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: FanDuel Sports Network Oklahoma, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 478 ms, 最高速率: 1.42 M/s, 平均速率: 1.42 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: FanDuel Sports Network Southeast, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 611 ms, 最高速率: 6.40 M/s, 平均速率: 6.40 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: FanDuel Sports Network Sun, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 670 ms, 最高速率: 9.90 M/s, 平均速率: 9.90 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: FanDuel Sports Network Wisconsin, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 608 ms, 最高速率: 4.71 M/s, 平均速率: 4.71 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: FanDuel Sports Network West, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 90 ms, 最高速率: 1.27 M/s, 平均速率: 1.27 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: FanDuel Sports Network Southwest, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 103 ms, 最高速率: 4.68 M/s, 平均速率: 4.68 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: MSG, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 37 ms, 最高速率: 4.84 M/s, 平均速率: 4.84 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: Space City Home Network, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 95 ms, 最高速率: 1.52 M/s, 平均速率: 1.52 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
