🕘️更新时间,#genre#
Starz,http://192.168.3.53:8080/hls/3231100363911152612.m3u8
Starz Edge,http://192.168.3.53:8080/hls/-7469722757800305139.m3u8
Starz in Black,http://192.168.3.53:8080/hls/-2056429076668537598.m3u8
Starz Comedy,http://192.168.3.53:8080/hls/-1605419190508287781.m3u8
Starz Cinema,http://192.168.3.53:8080/hls/-7757455691185806756.m3u8
Starz Kids & Family,http://192.168.3.53:8080/hls/2859904100072754050.m3u8
Starz Encore,http://192.168.3.53:8080/hls/-7840795904228966829.m3u8
Starz Encore Action,http://192.168.3.53:8080/hls/-5279526106247336711.m3u8
Starz Encore Classic,http://192.168.3.53:8080/hls/5346428986198205029.m3u8
Starz Encore Black,http://192.168.3.53:8080/hls/5481330261093055270.m3u8
Starz Encore Family,http://192.168.3.53:8080/hls/-7391970450907098055.m3u8
Starz Encore Suspense,http://192.168.3.53:8080/hls/-7059535465273492143.m3u8
Starz Encore Westerns,http://192.168.3.53:8080/hls/8901148850146923412.m3u8
Cinemax,http://192.168.3.53:8080/hls/-1346118818250416180.m3u8
Cinemax Action,http://192.168.3.53:8080/hls/-6315322998590802902.m3u8
Cinemax Classics,http://192.168.3.53:8080/hls/-8529528152078555955.m3u8
Cinemax Hits,http://192.168.3.53:8080/hls/6963293984595527234.m3u8
MGM+,http://192.168.3.53:8080/hls/1563878085472281428.m3u8
MGM+ Drive-In,http://192.168.3.53:8080/hls/2940238823976263891.m3u8
MGM+ Hits,http://192.168.3.53:8080/hls/-5628848093455219989.m3u8
MGM+ Marquee,http://192.168.3.53:8080/hls/7210249737687994539.m3u8
TCM,http://192.168.3.53:8080/hls/6701957551129114905.m3u8
Paramount Network,http://192.168.3.53:8080/hls/-8288143050910928944.m3u8
Paramount+ with Showtime,http://192.168.3.53:8080/hls/1325091138251870696.m3u8
FX,http://192.168.3.53:8080/hls/-3171527040611604039.m3u8
FXM,http://192.168.3.53:8080/hls/-6608684791826966800.m3u8
FXX,http://192.168.3.53:8080/hls/-3943094559851092577.m3u8
SHOxBET,http://192.168.3.53:8080/hls/171641069114527214.m3u8

美国综合,#genre#
AMC,http://192.168.3.53:8080/hls/-7082522364984939700.m3u8
AMC Thrillers,http://192.168.3.53:8080/hls/823868678756331536.m3u8
TBS,http://192.168.3.53:8080/hls/5292709453245781525.m3u8
TNT,http://192.168.3.53:8080/hls/-1037576600241348213.m3u8
USA Network,http://192.168.3.53:8080/hls/-7265534533768916731.m3u8
